"date","price","rate"
2016-12-11,50693.75,0.044774438222607
2016-12-18,51115.26,0.00828045392902332
2016-12-25,51295.58,0.00352150585515609
2017-01-01,51754.03,0.00889771488886382
2017-01-08,52721.67,0.0185242629659967
2017-01-15,53498.26,0.0146225635330204
2017-01-22,53573.28,0.00140130630933655
2017-01-29,55657.7,0.0381699966119893
2017-02-05,55408.23,-0.00449229425333009
2017-02-12,57385.03,0.0350553292406204
2017-02-19,57972.68,0.0101883971748755
2017-02-26,58657.32,0.0117405104036639
2017-03-05,59313.38,0.0111225374345292
2017-03-12,58316.11,-0.0169565284146866
2017-03-19,60440.57,0.0357821836849954
2017-03-26,59069.56,-0.0229448356987412
2017-04-02,57911.31,-0.0198030302110617
2017-04-09,59287.92,0.0234928730118114
2017-04-16,58695.36,-0.0100448975894221
2017-04-23,59285.57,0.0100052597243252
2017-04-30,61644.56,0.0390190482146036
2017-05-07,61831.4,0.00302634039211469
2017-05-14,61595.38,-0.00382445831736788
2017-05-21,60739.95,-0.0139852312903397
2017-05-28,60907.75,0.002758787982442
2017-06-04,60754.42,-0.00252058764330876
2017-06-11,61181.57,0.00700616359890738
2017-06-18,60481.07,-0.0115155768608126
2017-06-25,60982.19,0.00825143081575064
2017-07-02,61018.36,0.000592948163916418
2017-07-09,60707.52,-0.00510722412777653
2017-07-16,62127.72,0.0231246877889237
2017-07-23,61979.52,-0.00238825825861078
2017-07-30,62366.5,0.0062242643447199
2017-08-06,62478.3,0.00179102421383526
2017-08-13,62206.45,-0.00436060433639085
2017-08-20,62053.31,-0.00246483781286067
2017-08-27,64135.52,0.0330044903111197
2017-09-03,65208.48,0.0165911772087082
2017-09-10,64306.53,-0.0139283405279116
2017-09-17,64535.67,0.00355691289938953
2017-09-24,64397.32,-0.00214607685898294
2017-10-01,64289.69,-0.00167274109634441
2017-10-08,64456.06,0.00258447510082327
2017-10-15,65318.72,0.0132949207323474
2017-10-22,63719.57,-0.0247869353289971
2017-10-29,64054.62,0.00524442014357795
2017-11-05,64214.11,0.00248681158991104
2017-11-12,63415.6,-0.0125130805203604
2017-11-19,63047.02,-0.00582909074069349
2017-11-26,63857.97,0.0127806012766847
2017-12-03,62031.02,-0.0290268159883755
2017-12-10,62430.24,0.00641519086576103
2017-12-17,62619.6,0.00302855477042385
2017-12-24,63237.38,0.0098172538657213
2017-12-31,63746.2,0.00801399241074918
2018-01-07,65314.32,0.0243017333808062
2018-01-14,65465.65,0.0023142698005163
